ID2,Year,Season,BottomDepth,GravimetricWaterContent,Date
1,2000,Spring,1,0.2401332312635701,2000-04-11
2,2000,Spring,1,0.2485203434342632,2000-04-11
3,2000,Spring,1,0.2623216610114566,2000-04-11
4,2000,Spring,1,0.255699918216236,2000-04-11
5,2000,Spring,1,0.2553368929803177,2000-04-11
6,2000,Spring,1,0.2460844550467319,2000-04-11
7,2000,Spring,1,0.27821194927894993,2000-04-11
8,2000,Spring,1,0.24294012711499505,2000-04-11
9,2000,Spring,1,0.24228883948374624,2000-04-11
10,2000,Spring,1,0.2322402000427246,2000-04-11
11,2000,Spring,1,0.2267699241638184,2000-04-11
12,2000,Spring,1,0.22360724210739136,2000-04-11
13,2000,Spring,1,0.22704048454761505,2000-04-11
14,2000,Spring,1,0.2849017083644867,2000-04-11
15,2000,Spring,1,0.2942602634429932,2000-04-11
16,2000,Spring,1,0.2754496048873799,2000-04-11
17,2000,Spring,1,0.25405629499184645,2000-04-11
18,2000,Spring,1,0.25297392516356104,2000-04-11
19,2000,Spring,1,0.2389032307180531,2000-04-11
20,2000,Spring,1,0.23081233688980804,2000-04-11
21,2000,Spring,1,0.23423388903755005,2000-04-11
22,2000,Spring,1,0.23650505926723134,2000-04-11
23,2000,Spring,1,0.24372482422646305,2000-04-11
24,2000,Spring,1,0.2680119452066924,2000-04-11
25,2000,Spring,1,0.26154473347861,2000-04-11
26,2000,Spring,1,0.2625851117591738,2000-04-11
27,2000,Spring,1,0.2581927390030558,2000-04-11
28,2000,Spring,1,0.2489066946420656,2000-04-11
29,2000,Spring,1,0.25494029970628435,2000-04-11
30,2000,Spring,1,0.2390799548165827,2000-04-11
31,2000,Spring,1,0.2645452320575714,2000-04-11
32,2000,Spring,1,0.23296068608760834,2000-04-11
33,2000,Spring,1,0.22111338376998899,2000-04-11
34,2000,Spring,1,0.22627224028110504,2000-04-11
35,2000,Spring,1,0.2340889722108841,2000-04-11
36,2000,Spring,1,0.2867836654186249,2000-04-11
37,2000,Spring,1,0.2844144403934479,2000-04-11
38,2000,Spring,1,0.2964487969875336,2000-04-11
39,2000,Spring,1,0.2755316735736255,2000-04-11
40,2000,Spring,1,0.2797106734931701,2000-04-11
41,2000,Spring,1,0.290626840719976,2000-04-11
42,2000,Spring,1,0.2526859123189279,2000-04-11
43,2000,Spring,1,0.2478297808672101,2000-04-11
44,2000,Spring,1,0.2629426591676742,2000-04-11
45,2000,Spring,1,0.2646298927112151,2000-04-11
46,2000,Spring,1,0.20508476623815647,2000-04-11
47,2000,Spring,1,0.26611270740743104,2000-04-11
48,2000,Spring,1,0.24886026404953396,2000-04-11
49,2000,Spring,1,0.2482871938183122,2000-04-11
50,2000,Spring,1,0.22153309016308864,2000-04-11
51,2000,Spring,1,0.2456125463309881,2000-04-11
52,2000,Spring,1,0.24491176131669795,2000-04-11
53,2000,Spring,1,0.2655390665702458,2000-04-11
54,2000,Spring,1,0.2865670919418335,2000-04-11
55,2000,Spring,1,0.2275690883398056,2000-04-11
56,2000,Spring,1,0.2391094416379929,2000-04-11
57,2000,Spring,1,0.2331472039222717,2000-04-11
58,2000,Spring,1,0.2386499941349029,2000-04-11
59,2000,Spring,1,0.25929495692253113,2000-04-11
60,2000,Spring,1,0.27105724811553955,2000-04-11
61,2000,Spring,1,0.3674810528755188,2000-04-11
62,2000,Spring,1,0.2524336818240148,2000-04-11
63,2000,Spring,1,0.2545803699073885,2000-04-11
64,2000,Spring,1,0.2694705489060903,2000-04-11
65,2000,Spring,1,0.2777491879398443,2000-04-11
66,2000,Spring,1,0.2905587837846933,2000-04-11
67,2000,Spring,1,0.2751821518181388,2000-04-11
68,2000,Spring,1,0.2268054764849225,2000-04-11
69,2000,Spring,1,0.2541717455643288,2000-04-11
70,2000,Spring,1,0.2563274580552265,2000-04-11
71,2000,Spring,1,0.24664933535298586,2000-04-11
72,2000,Spring,1,0.27901854089294315,2000-04-11
73,2000,Spring,1,0.2597198210557548,2000-04-11
74,2000,Spring,1,0.25025566310702635,2000-04-11
75,2000,Spring,1,0.2820408646317853,2000-04-11
76,2000,Spring,1,0.25727244507004243,2000-04-11
77,2000,Spring,1,0.2607900698560032,2000-04-11
78,2000,Spring,1,0.2805314408073931,2000-04-11
79,2000,Spring,1,0.28895801305770874,2000-04-11
80,2000,Spring,1,0.2756284177303314,2000-04-11
81,2000,Spring,1,0.2798147201538086,2000-04-11
82,2000,Spring,1,0.2881850302219391,2000-04-11
83,2000,Spring,1,0.24427568912506106,2000-04-11
84,2000,Spring,1,0.27798554301261896,2000-04-11
85,2000,Spring,1,0.2768688201904297,2000-04-11
86,2000,Spring,1,0.2950729727745056,2000-04-11
87,2000,Spring,1,0.2535456657211202,2000-04-11
88,2000,Spring,1,0.2397292391911269,2000-04-11
89,2000,Spring,1,0.24557109414172215,2000-04-11
90,2000,Spring,1,0.25929922715384623,2000-04-11
91,2000,Spring,1,0.2859427612959858,2000-04-11
92,2000,Spring,1,0.2919379328990578,2000-04-11
93,2000,Spring,1,0.2767233704603151,2000-04-11
94,2000,Spring,1,0.2735623936697531,2000-04-11
95,2000,Spring,1,0.24428587696504706,2000-04-11
96,2000,Spring,1,0.251005088355979,2000-04-11
97,2000,Spring,1,0.24932159147525798,2000-04-11
98,2000,Spring,1,0.26558236470070035,2000-04-11
99,2000,Spring,1,0.2707602063665505,2000-04-11
100,2000,Spring,1,0.2751940062028348,2000-04-11
101,2000,Spring,1,0.2851193672540617,2000-04-11
102,2000,Spring,1,0.3004288505080939,2000-04-11
103,2000,Spring,1,0.2615388472232095,2000-04-11
104,2000,Spring,1,0.2843303870522826,2000-04-11
105,2000,Spring,1,0.2936909682808005,2000-04-11
106,2000,Spring,1,0.23311783373355865,2000-04-11
107,2000,Spring,1,0.2886215448379517,2000-04-11
108,2000,Spring,1,0.2811960279941559,2000-04-11
109,2000,Spring,1,0.27770403027534485,2000-04-11
110,2000,Spring,1,0.2347496598958969,2000-04-11
