ID2,GravimetricWaterContent,Ammonia,Nitrate,Year,Season,BottomDepth
1,,,,0,Spring,1
2,,,,0,Spring,1
3,,,,0,Spring,1
4,,,,0,Spring,1
5,,,,0,Spring,1
6,,,,0,Spring,1
7,,,,0,Spring,1
8,,,,0,Spring,1
9,,,,0,Spring,1
10,0.2322402000427246,0.5269299541541018,6.1931070230041225,0,Spring,1
11,0.22676992416381836,0.8057295096579976,4.062006433419905,0,Spring,1
12,0.22360724210739136,0.3879684412274781,5.01275893679725,0,Spring,1
13,0.22704048454761505,0.4799511860671504,4.549672497752474,0,Spring,1
14,0.2849017083644867,0.6067816760054521,9.423862567443585,0,Spring,1
15,0.29426026344299316,1.507897923869392,5.268805651739897,0,Spring,1
16,,,,0,Spring,1
17,,,,0,Spring,1
18,,,,0,Spring,1
19,,,,0,Spring,1
20,,,,0,Spring,1
21,,,,0,Spring,1
22,,,,0,Spring,1
23,,,,0,Spring,1
24,,,,0,Spring,1
25,,,,0,Spring,1
26,,,,0,Spring,1
27,,,,0,Spring,1
28,,,,0,Spring,1
29,,,,0,Spring,1
30,,,,0,Spring,1
31,0.2645452320575714,1.9106477512802618,3.8001311151645596,0,Spring,1
32,0.23296068608760834,0.90104131787348,5.631615738492749,0,Spring,1
33,0.221113383769989,0.5783314505189053,10.54941357467749,0,Spring,1
34,0.22627224028110504,3.8045501960816877,8.240895687517382,0,Spring,1
35,0.2340889722108841,1.3830106870800623,6.3448721780732455,0,Spring,1
36,0.2867836654186249,0.3294701347623575,10.879552529720609,0,Spring,1
37,0.2844144403934479,0.0,2.7880300252717873,0,Spring,1
38,0.29644879698753357,0.0,9.893518069989707,0,Spring,1
39,,,,0,Spring,1
40,,,,0,Spring,1
41,,,,0,Spring,1
42,,,,0,Spring,1
43,,,,0,Spring,1
44,,,,0,Spring,1
45,,,,0,Spring,1
46,,,,0,Spring,1
47,,,,0,Spring,1
48,,,,0,Spring,1
49,,,,0,Spring,1
50,,,,0,Spring,1
51,,,,0,Spring,1
52,,,,0,Spring,1
53,,,,0,Spring,1
